source_hgnc;interaction_directed_signed;target_hgnc;database;ref;no_ref;source_uniprot;target_uniprot
CUL1;INHIBIT;CTNNB1;"CancerCellMap;Signor;Laudanna_sigflow;InnateDB";"10023660;10228155;10023660;10713156";4;Q13616;P35222
PSMA7;ACTIVATE;CUL1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"21145461;16759355";2;O14818;Q13616
CUL1;ACTIVATE;E2F1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang";"10559858;10559858";2;Q13616;Q01094
CAND1;INHIBIT;CUL1;"HPRD;BioGRID;ACSN;InnateDB;SPIKE;IntAct;DIP";"16036220;22013077;22767593;15208392;17438373;12609982;22405651;12684064;15208391;16045473;21249194;21145461;12706828;22474075;17439941;21778237;23453757;12504026;18826954;16861300;16036220;12504025;18173839;21169563;18550827;17079684;17158585;23019411;25435324;16861300;21145461;12609982;12684064;17290223;12609982;12504026;12609982;12504026";38;Q86VP6;Q13616
CUL1;INHIBIT;SMAD3;"Wang;Laudanna_effects;HPRD;Laudanna_sigflow";11359933;1;Q13616;P84022
RBX1;ACTIVATE;CUL1;"Laudanna_effects;HPRD;Laudanna_sigflow;ACSN;IntAct;DIP;SignaLink3;CancerCellMap;BioGRID;Wang;InnateDB";"10535940;11961546;11861641;10713156;12609982;16759355;10230407;12706828;11956208;20832730;10230406;10648623;19933270;18805092;19250909;26344197;22767593;12215511;12840033;12609982;16759355;22405651;26540345;16123592;22822056;12565873;17158585;12684064;15361859;10230406;20638939;16880526;23770852;11384984;10230407;12706828;12904573;19245792;22474075;12167173;11483504;11961546;11337588;18826954;11027288;15749712;21765416;12481031;15448697;26725323;10648623;19933270;12504025;10748083;24949976;15659098;21169563;10713156;11861641;19942853;17452440;15860010;12417738;11956208;16275325;20832730;23535663;12381738;11245432;11359933;20399188;21765416;11961546;12417738;11956208;12609982;10648623;12504026;18805092;11961546;11961546";81;P62877;Q13616
UBE2M;ACTIVATE;CUL1;"SPIKE;BioGRID;IntAct";"10713156;18826954;21946088;21765416;19245792;21247897;17914462";7;P61081;Q13616
CUL1;INHIBIT;NFKBIA;"Laudanna_effects;HPRD;Laudanna_sigflow;ACSN;IntAct;CancerCellMap;BioGRID;Wang;InnateDB";"11027288;10713156;22590978;10066435;11483504;10066435;14743216;10713156;10066435;9990852;17914462;14743216";12;Q13616;P25963
CUL1;INHIBIT;CDK2;"Wang;BioGRID;Laudanna_sigflow;InnateDB";"21145461;26186194;9636170;9736735";4;Q13616;P24941
CUL1;INHIBIT;CDKN1A;"Wang;Laudanna_effects;Laudanna_sigflow;InnateDB";9736735;1;Q13616;P38936
SKP1;ACTIVATE;CUL1;"Laudanna_effects;HPRD;Laudanna_sigflow;IntAct;Signor;CancerCellMap;BioGRID;Wang;InnateDB";"10023660;22767593;15452136;23324393;16759355;12609982;26540345;18094045;18948957;26474281;17158585;12684064;10230406;16045473;21249194;21145461;23720308;12628165;9663463;23770852;10230407;12904573;10023660;16357137;12167173;16412087;21778237;11961546;11337588;12615944;11027288;15749712;23951410;19270694;9990852;15161962;26725323;10648623;19933270;21518870;9430629;12504025;15659098;21169563;10713156;18550827;9636170;15860010;15147268;15966899;9736735;18818696;20832730;23535663;22474075;11387208;15555586;10228155;11359933;10023660;21145461;9663463;12417738;14685242;9736735;18818696;10023660;10648623;17290223;12609982;18818696;14685242;17290223;9827542";74;P63208;Q13616
MYC;ACTIVATE;CUL1;"SPIKE;IntAct";"16915296;16376880";2;P01106;Q13616
PSMA4;ACTIVATE;CUL1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"21145461;16759355";2;P25789;Q13616
PSMA6;ACTIVATE;CUL1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"21145461;16759355";2;P60900;Q13616
PSMB4;ACTIVATE;CUL1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"21145461;9636170";2;P28070;Q13616
PSMA2;ACTIVATE;CUL1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"21145461;19193609;16759355";3;P25787;Q13616
UBXN1;ACTIVATE;CUL1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";18775313;1;Q04323;Q13616
NPHS1;ACTIVATE;TRPC6;"Wang;Laudanna_effects;Laudanna_sigflow;TRIP";"22155451;15924139";2;O60500;Q9Y210
PRKCA;ACTIVATE;NPHS1;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoSite_noref";"21321125;21321125";2;P17252;O60500
NPHS1;ACTIVATE;FYN;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;PhosphoPoint;InnateDB";"12846735;12668668;15634346;12846735;12668668";5;O60500;P06241
FYN;INHIBIT;NPHS1;"Laudanna_effects;HPRD;Laudanna_sigflow;PhosphoPoint;BioGRID;Wang;InnateDB";"12846735;12668668;15634346;12846735;12668668";5;P06241;O60500
PRKCA;ACTIVATE;PDE3A;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoSite_noref";"19261611;25593322;24248367;16153182";4;P17252;Q14432
PRKACA;ACTIVATE;PDE3A;"Laudanna_effects;PhosphoSite_dir;Laudanna_sigflow;PhosphoSite;PhosphoSite_noref;KEGG;CA1;Signor;MIMP;Wang";"2839485;16153182";2;P17612;Q14432
BSPRY;INHIBIT;TRPV5;TRIP;16380433;1;Q5W0U4;Q9NQA5
PLCB3;INHIBIT;TRPM7;TRIP;"22180838;11941371";2;Q01970;Q96QT4
PRKCA;INHIBIT;PLCB3;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoNetworks";"9660757;9660757;10893237";3;P17252;Q01970
PRKACA;INHIBIT;PLCB3;"PhosphoSite;Signor;MIMP";10893237;1;P17612;Q01970
SLC9A3R2;ACTIVATE;PLCB3;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;PDZBase";"10748023;10748023;10748023";3;Q15599;Q01970
DPYSL2;ACTIVATE;TUBB;"Wang;Laudanna_effects;HPRD;Laudanna_sigflow";12134159;1;Q16555;P07437
TUBB;ACTIVATE;TRPC1;TRIP;15935109;1;P07437;P48995
TUBB;INHIBIT;SMAD3;Signor;17429065;1;P07437;P84022
NUMA1;ACTIVATE;TUBB;Signor;11956313;1;Q14980;P07437
TUBB;INHIBIT;SMAD2;Signor;17429065;1;P07437;Q15796
ZAP70;ACTIVATE;TUBB;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";8530437;1;P43403;P07437
FKBP1A;INHIBIT;MTOR;"Laudanna_effects;HPRD;Laudanna_sigflow;SPIKE;PhosphoPoint;IntAct;SignaLink3;BioGRID;Wang;InnateDB";"10089303;17145710;8662507;9334222;26344197;7822316;15467718;17991864;15796538;15268862;8662507;10089303;15284440;9334222;10089303;10089303;8662507";17;P62942;P42345
TGFBR1;INHIBIT;FKBP1A;"Laudanna_effects;HPRD;Laudanna_sigflow;PhosphoPoint;IntAct;BioGRID;Wang";"7518616;7791754;10025408;24658140;7518616;9346894";6;P36897;P62942
FKBP1A;INHIBIT;TGFB1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"23734213;11960000";2;P62942;P01137
FKBP1A;INHIBIT;SMAD7;"Laudanna_effects;Laudanna_sigflow;Wang;IntAct;InnateDB";"16720724;16720724";2;P62942;O15105
FKBP1A;INHIBIT;SMURF1;"Wang;Laudanna_effects;Laudanna_sigflow;InnateDB";16720724;1;P62942;Q9HCE7
AR;ACTIVATE;SCNN1A;SPIKE;17721441;1;P10275;P37088
NEDD4L;INHIBIT;SCNN1A;"HPRD;Signor;BioGRID;LMPID";"15586017;17502380;14556380;11802777;15328345;15123669;16416336;12424229;18701608;16844684;11244092;12876068;26651153;17502380;18687683;11742982;11244092;18498246;18322022";19;Q96PU5;P37088
STX5;INHIBIT;PKD2;TRIP;18836075;1;Q13190;Q13563
PKD2;ACTIVATE;TRPC3;TRIP;19812035;1;Q13563;Q13507
PKD2;ACTIVATE;TRPC7;TRIP;19812035;1;Q13563;Q9HCX4
PKD1;ACTIVATE;PKD2;"BioGRID;IntAct;HPRD;MPPI;TRIP;DIP";"10097141;23390129;15060061;9192675;9171830;12937304;19556541;11140688;15692563;11901144;10097141;11901144;9192675;11901144;19556541;21642537;10097141;20168298;9192675";19;P98161;Q13563
PKD2;ACTIVATE;TRPV4;TRIP;"18695040;23977387;20682256;25114176;22518003";5;Q13563;Q9HBA0
TRPV4;ACTIVATE;PKD2;TRIP;"18695040;23977387;20682256;25114176;22518003";5;Q9HBA0;Q13563
PRKCSH;INHIBIT;PKD2;TRIP;19801576;1;P14314;Q13563
TRPC1;ACTIVATE;PKD2;"HPRD;IntAct;BioGRID;TRIP";"10097141;18323855;14530267;19850920;20682256;25114176;19193631;10097141;10097141;10097141";10;P48995;Q13563
PKD2;ACTIVATE;TRPC1;"HPRD;IntAct;BioGRID;TRIP";"10097141;18323855;14530267;19850920;20682256;25114176;19193631;10097141;10097141;10097141";10;Q13563;P48995
KIF3A;ACTIVATE;PKD2;TRIP;"16950792;17008358;17283055";3;Q9Y496;Q13563
CSNK2A1;ACTIVATE;PKD2;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;phosphoELM;PhosphoNetworks";"14742446;14742446;23838289;14742446";4;P68400;Q13563
RACK1;INHIBIT;GRIN2B;"Wang;Laudanna_effects;HPRD;Laudanna_sigflow";12524444;1;P63244;Q13224
GRIN2B;ACTIVATE;GRIN1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang";"10862698;9003035;15663482;14645471;16554481;8139656;15030493;12191494";8;Q13224;Q05586
FYN;ACTIVATE;GRIN2B;"Laudanna_effects;HPRD;Laudanna_sigflow;HPRD-phos;PhosphoPoint;Signor;BioGRID;MIMP;Wang";"11024032;11483655;11024032;9670010;10458595;11483655;11024032;10458595";8;P06241;Q13224
CSNK2A1;INHIBIT;GRIN2B;Signor;15537897;1;P68400;Q13224
PDE4DIP;ACTIVATE;PRKAR2A;Signor;21569246;1;Q5VU43;P13861
PRKCA;INHIBIT;EWSR1;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;HPRD;PhosphoPoint";"9341188;9341188;11313922;9341188";4;P17252;Q01844
SF1;INHIBIT;EWSR1;"HPRD;Signor;BioGRID";"9660765;9660765;9660765";3;Q15637;Q01844
SNRPC;INHIBIT;EWSR1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang";"10827180;10827180";2;P09234;Q01844
NTRK2;ACTIVATE;FYN;"SignaLink3;Laudanna_effects;Signor;Laudanna_sigflow;HPRD;BioGRID;Wang;PhosphoPoint;CA1";"9648856;9648856;9648856;9648856;9648856";5;Q16620;P06241
NTRK2;ACTIVATE;PLCG1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;PhosphoPoint;KEGG";"12074588;10092678;12419535";3;Q16620;P19174
NTF3;ACTIVATE;NTRK2;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint;KEGG";8621424;1;P20783;Q16620
NEUROD1;ACTIVATE;NTRK2;SPIKE;16251211;1;Q13562;Q16620
NTRK2;ACTIVATE;SHC1;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint;CA1";"8808684;16034442;12419535";3;Q16620;P29353
NTRK2;ACTIVATE;IRS2;"Wang;Laudanna_effects;Laudanna_sigflow;CA1";9374521;1;Q16620;Q9Y4H2
BDNF;ACTIVATE;NTRK2;"Laudanna_effects;HPRD;Laudanna_sigflow;PhosphoPoint;KEGG;CA1;DIP;Signor;BioGRID;Wang";"9648856;1645620;7679912;9312147;11855816;9312147;9312147";7;P23560;Q16620
NTRK2;ACTIVATE;IRS1;"Laudanna_effects;Laudanna_sigflow;Wang;KEGG;CA1";9374521;1;Q16620;P35568
SQSTM1;ACTIVATE;NTRK2;"HPRD;SignaLink3;PhosphoPoint;BioGRID";"12471037;1845766;12471037;18457658;12471037";5;Q13501;Q16620
NTRK2;ACTIVATE;SH2B2;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint;KEGG";9856458;1;Q16620;O14492
NTRK2;ACTIVATE;NCK2;"SignaLink3;Signor;BioGRID;HPRD;PhosphoPoint";"12074588;12074588;12074588;12074588";4;Q16620;O43639
NTRK2;ACTIVATE;SH2B1;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";9856458;1;Q16620;Q9NRF2
NTRK2;ACTIVATE;SHC3;"Laudanna_effects;PhosphoSite_dir;Laudanna_sigflow;PhosphoSite;HPRD;PhosphoSite_noref;PhosphoPoint;SignaLink3;Signor;BioGRID;MIMP;Wang";"9507002;9507002;12074588;9507002;9507002";5;Q16620;Q92529
NGFR;INHIBIT;NTRK2;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";9927421;1;P08138;Q16620
NTRK2;ACTIVATE;SHC2;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;KEGG";"9507002;12006576";2;Q16620;P98077
NTRK2;INHIBIT;KCNA3;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoSite_noref";"19166614;11812778;19166614";3;Q16620;P22001
NTRK2;ACTIVATE;FRS3;"Laudanna_effects;Signor;Laudanna_sigflow;HPRD;MIMP;Wang;PhosphoPoint";"11432792;11432792";2;Q16620;O43559
NTF4;ACTIVATE;NTRK2;"Laudanna_effects;Signor;Laudanna_sigflow;HPRD;BioGRID;Wang;PhosphoPoint;KEGG;IntAct";"7679912;25241761;11855816;11738045;25241761;11855816";6;P34130;Q16620
NTRK2;ACTIVATE;KIDINS220;"Wang;PhosphoPoint;HPRD";15167895;1;Q16620;Q9ULH0
PRKCB;INHIBIT;TNNI3;Signor;"17010989;15769444";2;P05771;P19429
PRKCB;INHIBIT;STMN1;"PhosphoSite;Signor;MIMP;PhosphoPoint";"9271428;7637391";2;P05771;P16949
PRKCB;ACTIVATE;PPARA;"PhosphoSite;Laudanna_effects;Laudanna_sigflow;MIMP;Wang";NA;0;P05771;Q07869
PRKCB;INHIBIT;NOS3;Signor;24379783;1;P05771;P29474
PRKCB;ACTIVATE;ANXA1;"PhosphoSite_dir;Signor;PhosphoSite;MIMP";"24103589;19428336";2;P05771;P04083
PRKCB;INHIBIT;CASR;"Signor;HPRD-phos;MIMP;HPRD;PhosphoPoint";"12356761;12356761;9694886;12356761;9694886";5;P05771;P41180
PLCB1;ACTIVATE;PRKCB;"Wang;Laudanna_effects;Laudanna_sigflow";NA;0;Q9NQ66;P05771
PRKCB;ACTIVATE;PRKD1;"Wang;Laudanna_effects;Laudanna_sigflow;MIMP";NA;0;P05771;Q15139
PRKCB;INHIBIT;MARCKS;"Laudanna_effects;HPRD;Laudanna_sigflow;HPRD-phos;PhosphoPoint;Signor;MIMP;Wang";"17287340;18767875;20058876;19413330;18578522;20068231;18669648;8557118;20166139;19664995;18212344;17322306;19651622;11930178;18707149;8557118;11930178;7588787";18;P05771;P29966
PRKCB;INHIBIT;ORAI1;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoSite_noref";"20534587;20534587;23144458";3;P05771;Q96D31
PRKCB;ACTIVATE;RAF1;"Laudanna_effects;Signor;Laudanna_sigflow;Wang;MIMP;ACSN";8288587;1;P05771;P04049
PRKCB;INHIBIT;GSK3A;"PhosphoSite;Signor;HPRD-phos;MIMP;HPRD;PhosphoPoint";"11884598;12054501;19413330;11035810;11884598;18691976;11749387;11884598;12054501;11749387;11035810";11;P05771;P49840
PRKCB;ACTIVATE;NFE2L2;"Signor;MIMP";12198130;1;P05771;Q16236
PHLPP1;INHIBIT;PRKCB;"DEPOD;Signor";"18162466;18162466";2;O60346;P05771
PRKCB;ACTIVATE;RB1;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";11805327;1;P05771;P06400
PRKCB;INHIBIT;MET;"Laudanna_effects;Wang;Laudanna_sigflow;MIMP;ACSN";NA;0;P05771;P08581
PRKCB;ACTIVATE;PSEN1;Signor;14576165;1;P05771;P49768
PRKCB;ACTIVATE;IKBKB;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint;IntAct";"25241761;12070292";2;P05771;O14920
PRKCB;INHIBIT;INSR;"KEGG;MIMP";NA;0;P05771;P06213
PRKCB;INHIBIT;IRS1;"PhosphoSite;KEGG;MIMP";NA;0;P05771;P35568
PRKCB;ACTIVATE;MAPK6;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";8626698;1;P05771;Q16659
PDPK1;ACTIVATE;PRKCB;"Laudanna_effects;Signor;Laudanna_sigflow;HPRD;Wang;PhosphoPoint";"17115692;15209375;11376011";3;O15530;P05771
BLVRA;ACTIVATE;PRKCB;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;SPIKE";"17227757;17227757;17227757";3;P53004;P05771
PRKCB;ACTIVATE;TOP2A;"Signor;HPRD-phos;MIMP;HPRD;PhosphoPoint;phosphoELM";"12569090;7499337;7499337;19691289;12569090;19007248;18691976;12569090;7499337";9;P05771;P11388
PRKCB;ACTIVATE;CHUK;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint;IntAct";"25241761;12070292";2;P05771;O15111
PRKCB;ACTIVATE;CARD11;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;PhosphoPoint;KEGG";"16356855;16356855";2;P05771;Q9BXL7
PRKCB;ACTIVATE;DVL2;"Laudanna_effects;CancerCellMap;Laudanna_sigflow;Wang;HPRD;ACSN;PhosphoPoint";"12958364;12958364";2;P05771;O14641
TRIM41;ACTIVATE;PRKCB;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";17893151;1;Q8WV44;P05771
PRKCB;INHIBIT;ILF3;"PhosphoSite;Signor;MIMP";20870937;1;P05771;Q12906
PRKCB;INHIBIT;RPS6KB2;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoPoint;phosphoELM";"12529391;12529391;12529391";3;P05771;Q9UBS0
ACVR2B;ACTIVATE;PRKCB;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q13705;P05771
PRKCB;ACTIVATE;NCF1;"Laudanna_effects;PhosphoSite_dir;Laudanna_sigflow;PhosphoSite;HPRD;PhosphoSite_noref;PhosphoPoint;KEGG;Signor;BioGRID;MIMP;Wang";"12056906;7657821;24970888;22460559;17217339;20920494;12056906;12734380;10559253;25761062;15657040;8089108;23119229;24632950;16297854;8626435;11120743;12056906;11120743;8089108;12056906;11145703";22;P05771;P14598
PRKCB;ACTIVATE;RASGRP3;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;PhosphoPoint";"12730099;15213298;12730099";3;P05771;Q8IV61
PRKCB;INHIBIT;HABP4;"Signor;MIMP;HPRD;PhosphoPoint";"14699138;14699138";2;P05771;Q5JVS0
PHLPP2;INHIBIT;PRKCB;"DEPOD;Signor";"18162466;18162466";2;Q6ZVD8;P05771
PRKCB;INHIBIT;LASP1;Signor;12571245;1;P05771;Q14847
PRKCB;ACTIVATE;SDC2;"Laudanna_effects;HPRD;Laudanna_sigflow;HPRD-phos;PhosphoPoint;Signor;MIMP;Wang";"9244383;19901323;9244383";3;P05771;P34741
PRKCB;INHIBIT;C5AR1;"PhosphoSite_noref;Signor;PhosphoSite;PhosphoSite_dir";17145764;1;P05771;P21730
PRKCB;INHIBIT;CYTH2;"Signor;HPRD-phos;MIMP;HPRD;PhosphoPoint";"10531036;10531036;10531036";3;P05771;Q99418
PRKCB;ACTIVATE;CHAT;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;HPRD;PhosphoSite_noref;PhosphoPoint";"15381704;12486117;15381704";3;P05771;P28329
DVL1P1;ACTIVATE;PRKCB;Signor;23151663;1;P54792;P05771
PRKCB;ACTIVATE;TYR;"Laudanna_effects;PhosphoSite_dir;Laudanna_sigflow;PhosphoSite;PhosphoSite_noref;KEGG;Signor;MIMP;Wang";"10347209;10347209";2;P05771;P14679
PRKCB;INHIBIT;KCNC4;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoSite_noref;PhosphoPoint;phosphoELM";"9649584;7993631;9649584";3;P05771;Q03721
PRKCB;INHIBIT;IBTK;"PhosphoSite;Signor;PhosphoSite_dir;BioGRID;MIMP;PhosphoSite_noref";"21482705;21482705;21482705";3;P05771;Q9P2D0
PRKCB;ACTIVATE;JADE1;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P05771;Q6IE81
PXK;ACTIVATE;PRKCB;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q7Z7A4;P05771
SNAPIN;INHIBIT;SNAP25;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang";"10195194;22890573;10195194";3;O95295;P60880
PRKACA;ACTIVATE;SNAPIN;"Laudanna_effects;HPRD;PhosphoSite_dir;Laudanna_sigflow;HPRD-phos;PhosphoSite;PhosphoPoint;Signor;MIMP;Wang";"21356520;15269257;11283605;11283605";4;P17612;O95295
LRRK2;INHIBIT;SNAPIN;"Signor;PhosphoSite;MIMP;PhosphoSite_dir;IntAct";"23949442;23949442;23949442";3;Q5S007;O95295
PINK1;ACTIVATE;UBC;"Signor;BioGRID";"24784582;25847540;24784582;26162776;24751536;25474007";6;Q9BXM7;P0CG48
UBC;ACTIVATE;PRKN;"Signor;BioGRID";"26161729;25847540;24784582;22724072;26162776;23670163;24751536;25474007;26260794;26254304;25969509";11;P0CG48;O60260
UCHL1;ACTIVATE;UBC;"HPRD;Signor;BioGRID";"9521656;16169070;9521656;20622874;2532544;23801757;12913066;16371654;22284438;20439756;16169070";11;P09936;P0CG48
YES1;ACTIVATE;EGFR;"Laudanna_effects;Laudanna_sigflow;Wang;PhosphoPoint;IntAct";23866081;1;P07947;P00533
YES1;ACTIVATE;CTTN;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P07947;Q14247
YES1;ACTIVATE;TRPV4;"HPRD;PhosphoPoint;TRIP";"12538589;12538589";2;P07947;Q9HBA0
YES1;ACTIVATE;FYN;"Laudanna_effects;Laudanna_sigflow;Wang;PhosphoPoint;KEGG;PhosphoNetworks";NA;0;P07947;P06241
YES1;ACTIVATE;PDGFRB;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;IntAct";"7685273;7685273";2;P07947;P09619
YES1;ACTIVATE;NPM1;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P07947;P06748
YES1;ACTIVATE;GAB1;"Wang;Laudanna_effects;Laudanna_sigflow;IntAct";24728074;1;P07947;Q13480
YES1;INHIBIT;CDK4;"PhosphoSite;Signor;MIMP";18479465;1;P07947;P11802
YES1;ACTIVATE;KIT;"Laudanna_effects;HPRD;Laudanna_sigflow;CancerCellMap;Wang;PhosphoPoint;IntAct";"11071635;24728074;11071635";3;P07947;P10721
YES1;ACTIVATE;ENO1;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P07947;P06733
YES1;ACTIVATE;PAK2;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;DOMINO;IntAct";"16374509;16374509;16374509";3;P07947;Q13177
YES1;ACTIVATE;CBL;"MIMP;Wang;PhosphoPoint;phosphoELM;PhosphoNetworks";9525940;1;P07947;P22681
YES1;ACTIVATE;PTK2;"PhosphoSite;Laudanna_effects;Laudanna_sigflow;BioGRID;PhosphoSite_dir;Wang;IntAct";"18032789;10821872;16818654;25868388;12754219;25817040;23466867;21289086;21276823;15958584;17234774;7597091;14572662;14656986;15817476;11839732;16491114;15800067;12639965;12482769;11035755;21852560;12558988;25416956;23397142;25416956";26;P07947;Q05397
CSK;INHIBIT;YES1;"Laudanna_effects;PhosphoSite;Laudanna_sigflow;dbPTM;PhosphoPoint;MIMP;PhosphoSite_dir;Wang;PhosphoNetworks";"7690925;16439366;18083107;19369195;18691976;15592455";6;P41240;P07947
YES1;ACTIVATE;YWHAH;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P07947;Q04917
RPL10;INHIBIT;YES1;"Signor;BioGRID;HPRD;PhosphoPoint;IntAct";"12138090;12138090;16741966;12138090";4;P27635;P07947
PTPRE;ACTIVATE;YES1;"Laudanna_effects;HPRD;Laudanna_sigflow;PhosphoPoint;Wang;DEPOD";"14980517;15588985;14980517";3;P23469;P07947
YES1;ACTIVATE;ASAP3;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P07947;Q8TDY4
KL;ACTIVATE;TRPV6;TRIP;"18495742;16239475";2;Q9UEF7;Q9H1D0
KL;ACTIVATE;TRPV5;"KEGG;TRIP";"18606998;18495742;16239475";3;Q9UEF7;Q9NQA5
KL;INHIBIT;IGF1R;"HPRD;SPIKE;KEGG";"17684529;18762812";2;Q9UEF7;P08069
PRKCA;ACTIVATE;GNAZ;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;phosphoELM;PhosphoNetworks";"9166747;10686433;8429024;10531372;9166747;8429024;10531372;9166747";8;P17252;P19086
DRD2;ACTIVATE;GNAZ;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;CA1";"10384262;9166747";2;P14416;P19086
SYN1;INHIBIT;GNAZ;"Wang;Laudanna_effects;Laudanna_sigflow;CA1";14557263;1;P17600;P19086
GNAZ;INHIBIT;ADCY5;"Wang;Laudanna_effects;Laudanna_sigflow;CA1";7829508;1;P19086;O95622
PAK1;ACTIVATE;GNAZ;"PhosphoSite;Signor;MIMP;phosphoELM;PhosphoNetworks";"9166747;8429024;10531372;9166747";4;Q13153;P19086
GNAZ;INHIBIT;ADCY1;"Wang;Laudanna_effects;Laudanna_sigflow;CA1";7829508;1;P19086;Q08828
HTR1A;ACTIVATE;GNAZ;"Wang;Laudanna_effects;Laudanna_sigflow;CA1";9407078;1;P08908;P19086
PRKG1;ACTIVATE;TNNI3;Signor;15769444;1;Q13976;P19429
PRKG1;INHIBIT;TRPC3;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;HPRD;PhosphoSite_noref;PhosphoPoint;TRIP";"14983059;14983059;16331690;14983059;16331690;14983059";6;Q13976;Q13507
PRKG1;INHIBIT;TRPC6;"PhosphoSite;MIMP;PhosphoSite_dir;KEGG;TRIP";"18617565;23645677;24740790;19961855";4;Q13976;Q9Y210
PRKG1;ACTIVATE;RGS2;"PhosphoSite_dir;PhosphoSite;HPRD-phos;PhosphoSite_noref;PhosphoPoint;KEGG;phosphoELM;Signor;BioGRID;MIMP;HPRD";"24777815;14608379;14608379;14608379;14608379;14608379";6;Q13976;P41220
PRKCA;ACTIVATE;PRKG1;"PhosphoSite;HPRD-phos;PhosphoPoint;phosphoELM;Signor;MIMP;PhosphoSite_dir;HPRD";"12609995;12609995;12609995;12609995;12609995";5;P17252;Q13976
PRKG1;ACTIVATE;RAF1;"HPRD;PhosphoPoint;KEGG";12237340;1;Q13976;P04049
PRKG1;ACTIVATE;BRCA1;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q13976;P38398
PRKG1;ACTIVATE;RPS6KA2;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q13976;Q15349
PRKG1;ACTIVATE;GTF2I;"PhosphoSite_dir;PhosphoSite;HPRD-phos;PhosphoSite_noref;PhosphoPoint;KEGG;Signor;BioGRID;MIMP;HPRD";"12082086;12082086;16055503;12082086;19651622;20068231;12082086;12082086";8;Q13976;P78347
PRKG1;ACTIVATE;PPP1R12A;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint;KEGG";10567269;1;Q13976;O14974
