source_hgnc;interaction_directed_signed;target_hgnc;database;ref;no_ref;source_uniprot;target_uniprot
TGFBR1;ACTIVATE;ENG;"Laudanna_effects;PhosphoSite;Laudanna_sigflow;HPRD;PhosphoPoint;SignaLink3;BioGRID;MIMP;Wang;InnateDB";"12015308;15702480;9872992;12015308;18974388;12015308;16785228;12015308";8;P36897;P17813
TGFBR1;ACTIVATE;EIF3I;"Wang;SignaLink3;Laudanna_effects;Laudanna_sigflow";9813058;1;P36897;Q13347
TGFBR1;ACTIVATE;ACVRL1;"SignaLink3;Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint;InnateDB";"14580334;18333754;18333754;14580334";4;P36897;P37023
TGFBR1;ACTIVATE;PIK3CG;SignaLink3;15657037;1;P36897;P48736
TGFBR1;ACTIVATE;CD44;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";12145287;1;P36897;P16070
TGFBR1;ACTIVATE;MAP4K1;SignaLink3;10224067;1;P36897;Q92918
TGFBR1;ACTIVATE;ZFYVE9;"Laudanna_effects;Signor;Laudanna_sigflow;Wang;HPRD;ACSN;PhosphoPoint";"9865696;9865696";2;P36897;O95405
TGFBR1;ACTIVATE;SMAD6;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;PhosphoPoint";"9436979;20663871;9335505";3;P36897;O43541
WWP1;INHIBIT;TGFBR1;Signor;15221015;1;Q9H0M0;P36897
SMURF2;INHIBIT;TGFBR1;"SignaLink3;Laudanna_effects;Signor;Laudanna_sigflow;Wang;HPRD;BioGRID;ACSN;PhosphoPoint";"17317136;17317136;11163210;23973329;20386537;26679521;25149540;17347560;21791611;11163210;22624557;14722617;11163210";13;Q9HAU4;P36897
